Genome	COG_category	Counts
MGYG000297000	P	207
MGYG000297000	N	67
MGYG000297000	U	105
MGYG000297000	C	261
MGYG000297000	S	487
MGYG000297000	Q	146
MGYG000297000	E	200
MGYG000297000	M	174
MGYG000297000	H	141
MGYG000297000	I	170
MGYG000297000	J	154
MGYG000297000	G	93
MGYG000297000	-	110
MGYG000297000	V	43
MGYG000297000	L	117
MGYG000297000	O	111
MGYG000297000	F	68
MGYG000297000	T	106
MGYG000297000	K	93
MGYG000297000	D	32
