Genome	Annotation	Counts	Coverage
MGYG000297002	InterProScan	1556	95.05
MGYG000297002	eggNOG	1567	95.72
MGYG000297002	COG	1567	95.72
MGYG000297002	KEGG	1567	95.72
MGYG000297002	Missing	55	3.36
