Genome	COG_category	Counts
MGYG000297002	K	75
MGYG000297002	C	155
MGYG000297002	E	259
MGYG000297002	J	152
MGYG000297002	U	29
MGYG000297002	G	82
MGYG000297002	F	75
MGYG000297002	T	27
MGYG000297002	L	76
MGYG000297002	M	58
MGYG000297002	H	128
MGYG000297002	S	215
MGYG000297002	P	82
MGYG000297002	I	79
MGYG000297002	D	15
MGYG000297002	-	25
MGYG000297002	Q	44
MGYG000297002	V	10
MGYG000297002	O	64
MGYG000297002	N	1
MGYG000297002	A	1
MGYG000297002	B	1
