# Constructed from biom file
# OTU ID	ERR1022502	taxonomy
61740	7.0	sk__Archaea;k__;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae
14856	6.0	sk__Archaea;k__;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halococcus
82688	7.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter
109832	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera
116921	57965.0	sk__Bacteria
87267	33.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Firmicutes_oral_clone_CK051
139008	5.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Firmicutes_oral_clone_FM046
143289	4.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Firmicutes_oral_clone_MCE3_120
3759	283.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__SR1_bacterium_human_oral_taxon_HOT-345
39930	10.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__SR1_bacterium_oral_taxon_875
137013	12.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_AC2042
41257	3.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_AF6
92601	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_B-1048
31377	74.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_NLAE-zl-H174
145290	4.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_RA2114
77871	5.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_XPB1013
52766	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_endosymbiont_of_Eucampsipoda_inermis
74938	2.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_endosymbiont_of_Onthophagus_Taurus
104335	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_16S-9
26992	3.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_Anammox_46
147261	2.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_BBMC-12
128689	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_E34
3795	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_EB35.5
62854	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_enrichment_culture_clone_heteroB41_4W
46075	275.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__candidate_division_SR1_bacterium_MGEHA
63707	3.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__denitrifying_bacterium_enrichment_culture_clone_NOA_1_G8
104766	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__endosymbiont_of_Vannella_sp._A1
61202	82.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__human_oral_bacterium_C73
5183	5.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__iron-reducing_bacterium_enrichment_culture_clone_FeC_1_D4
36427	17.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__rumen_bacterium_NK3B31
7611	1.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__rumen_bacterium_R-20
63805	4.0	sk__Bacteria;k__;p__;c__;o__;f__;g__;s__swine_manure_bacterium_37-2
123889	1.0	sk__Bacteria;k__;p__;c__;o__Haloplasmatales;f__Haloplasmataceae;g__Haloplasma
94270	30.0	sk__Bacteria;k__;p__Acidobacteria
