Genome	COG_category	Counts
MGYG-HGUT-00240	C	100
MGYG-HGUT-00240	E	92
MGYG-HGUT-00240	D	54
MGYG-HGUT-00240	G	162
MGYG-HGUT-00240	F	65
MGYG-HGUT-00240	I	34
MGYG-HGUT-00240	H	81
MGYG-HGUT-00240	K	238
MGYG-HGUT-00240	J	165
MGYG-HGUT-00240	M	128
MGYG-HGUT-00240	L	187
MGYG-HGUT-00240	O	47
MGYG-HGUT-00240	N	8
MGYG-HGUT-00240	Q	16
MGYG-HGUT-00240	P	124
MGYG-HGUT-00240	S	493
MGYG-HGUT-00240	U	43
MGYG-HGUT-00240	T	69
MGYG-HGUT-00240	V	64
