Genome	COG_category	Counts
MGYG-HGUT-00279	A	2
MGYG-HGUT-00279	C	137
MGYG-HGUT-00279	B	3
MGYG-HGUT-00279	E	179
MGYG-HGUT-00279	D	42
MGYG-HGUT-00279	G	85
MGYG-HGUT-00279	F	72
MGYG-HGUT-00279	I	38
MGYG-HGUT-00279	H	147
MGYG-HGUT-00279	K	106
MGYG-HGUT-00279	J	160
MGYG-HGUT-00279	M	129
MGYG-HGUT-00279	L	135
MGYG-HGUT-00279	O	53
MGYG-HGUT-00279	N	9
MGYG-HGUT-00279	Q	30
MGYG-HGUT-00279	P	133
MGYG-HGUT-00279	S	390
MGYG-HGUT-00279	U	62
MGYG-HGUT-00279	T	29
MGYG-HGUT-00279	W	14
MGYG-HGUT-00279	V	33
