Genome	Annotation	Counts	Coverage
MGYG000297001	InterProScan	1641	95.08
MGYG000297001	eggNOG	1669	96.70
MGYG000297001	COG	1669	96.70
MGYG000297001	KEGG	1669	96.70
MGYG000297001	Missing	45	2.61
