Genome	CAZy_category	Counts
MGYG000297001	GH	8
MGYG000297001	PL	0
MGYG000297001	CE	3
MGYG000297001	AA	0
MGYG000297001	CB	0
MGYG000297001	GT	5
MGYG000297001	CL	0
