Genome	COG_category	Counts
MGYG000297001	J	124
MGYG000297001	E	172
MGYG000297001	G	67
MGYG000297001	M	88
MGYG000297001	T	34
MGYG000297001	K	88
MGYG000297001	U	63
MGYG000297001	C	161
MGYG000297001	S	293
MGYG000297001	H	105
MGYG000297001	N	21
MGYG000297001	I	117
MGYG000297001	P	86
MGYG000297001	D	31
MGYG000297001	Q	68
MGYG000297001	L	77
MGYG000297001	-	46
MGYG000297001	V	20
MGYG000297001	F	59
MGYG000297001	O	67
MGYG000297001	B	1
MGYG000297001	A	1
