Genome	Annotation	Counts	Coverage
MGYG000307531	InterProScan	3109	91.44
MGYG000307531	eggNOG	3256	95.76
MGYG000307531	COG	3256	95.76
MGYG000307531	KEGG	3256	95.76
MGYG000307531	Missing	118	3.47
