Genome	COG_category	Counts
MGYG000307531	C	182
MGYG000307531	J	209
MGYG000307531	E	197
MGYG000307531	T	184
MGYG000307531	O	113
MGYG000307531	U	135
MGYG000307531	L	169
MGYG000307531	F	117
MGYG000307531	S	644
MGYG000307531	I	85
MGYG000307531	G	155
MGYG000307531	P	191
MGYG000307531	H	160
MGYG000307531	K	258
MGYG000307531	N	131
MGYG000307531	M	233
MGYG000307531	-	187
MGYG000307531	D	49
MGYG000307531	V	52
MGYG000307531	Q	47
MGYG000307531	A	1
MGYG000307531	W	1
