Genome	COG_category	Counts
MGYG-HGUT-00279	A	1
MGYG-HGUT-00279	C	128
MGYG-HGUT-00279	B	2
MGYG-HGUT-00279	E	176
MGYG-HGUT-00279	D	36
MGYG-HGUT-00279	G	81
MGYG-HGUT-00279	F	73
MGYG-HGUT-00279	I	37
MGYG-HGUT-00279	H	144
MGYG-HGUT-00279	K	84
MGYG-HGUT-00279	J	155
MGYG-HGUT-00279	M	129
MGYG-HGUT-00279	L	116
MGYG-HGUT-00279	O	52
MGYG-HGUT-00279	N	7
MGYG-HGUT-00279	Q	26
MGYG-HGUT-00279	P	113
MGYG-HGUT-00279	S	326
MGYG-HGUT-00279	U	61
MGYG-HGUT-00279	T	31
MGYG-HGUT-00279	W	17
MGYG-HGUT-00279	V	31
