Genome	CAZy_category	Counts
MGYG-HGUT-00279	AA	0
MGYG-HGUT-00279	GT	16
MGYG-HGUT-00279	CL	0
MGYG-HGUT-00279	CB	0
MGYG-HGUT-00279	CE	0
MGYG-HGUT-00279	PL	0
MGYG-HGUT-00279	GH	7
