Genome	Annotation	Counts	Coverage
MGYG-HGUT-00279	InterProScan	1900	85.90
MGYG-HGUT-00279	eggNOG	1971	89.10
MGYG-HGUT-00279	COG	1866	84.36
MGYG-HGUT-00279	KEGG	1440	65.10
MGYG-HGUT-00279	Missing	197	8.91
