Genome	KEGG_module	Counts
MGYG-HGUT-00279	M00572	3
MGYG-HGUT-00279	M00549	2
MGYG-HGUT-00279	M00432	4
MGYG-HGUT-00279	M00546	3
MGYG-HGUT-00279	M00850	1
MGYG-HGUT-00279	M00868	8
MGYG-HGUT-00279	M00867	1
MGYG-HGUT-00279	M00866	11
MGYG-HGUT-00279	M00789	2
MGYG-HGUT-00279	M00029	4
MGYG-HGUT-00279	M00028	3
MGYG-HGUT-00279	M00023	11
MGYG-HGUT-00279	M00022	20
MGYG-HGUT-00279	M00021	3
MGYG-HGUT-00279	M00020	1
MGYG-HGUT-00279	M00026	26
MGYG-HGUT-00279	M00025	12
MGYG-HGUT-00279	M00024	11
MGYG-HGUT-00279	M00554	1
MGYG-HGUT-00279	M00552	3
MGYG-HGUT-00279	M00550	4
MGYG-HGUT-00279	M00652	1
MGYG-HGUT-00279	M00346	3
MGYG-HGUT-00279	M00344	1
MGYG-HGUT-00279	M00183	6
MGYG-HGUT-00279	M00718	1
MGYG-HGUT-00279	M00790	2
MGYG-HGUT-00279	M00793	2
MGYG-HGUT-00279	M00860	1
MGYG-HGUT-00279	M00577	9
MGYG-HGUT-00279	M00117	1
MGYG-HGUT-00279	M00116	14
MGYG-HGUT-00279	M00115	5
MGYG-HGUT-00279	M00114	2
MGYG-HGUT-00279	M00119	1
MGYG-HGUT-00279	M00118	1
MGYG-HGUT-00279	M00526	8
MGYG-HGUT-00279	M00527	9
MGYG-HGUT-00279	M00525	7
MGYG-HGUT-00279	M00642	2
MGYG-HGUT-00279	M00529	6
MGYG-HGUT-00279	M00052	6
MGYG-HGUT-00279	M00053	8
MGYG-HGUT-00279	M00050	7
MGYG-HGUT-00279	M00051	10
MGYG-HGUT-00279	M00357	6
MGYG-HGUT-00279	M00356	3
MGYG-HGUT-00279	M00804	4
MGYG-HGUT-00279	M00166	5
MGYG-HGUT-00279	M00167	7
MGYG-HGUT-00279	M00165	12
MGYG-HGUT-00279	M00531	1
MGYG-HGUT-00279	M00530	8
MGYG-HGUT-00279	M00532	4
MGYG-HGUT-00279	M00049	6
MGYG-HGUT-00279	M00048	15
MGYG-HGUT-00279	M00047	1
MGYG-HGUT-00279	M00046	4
MGYG-HGUT-00279	M00040	3
MGYG-HGUT-00279	M00364	2
MGYG-HGUT-00279	M00366	1
MGYG-HGUT-00279	M00368	1
MGYG-HGUT-00279	M00632	4
MGYG-HGUT-00279	M00631	3
MGYG-HGUT-00279	M00567	3
