Module_accession	% completeness	#matching_KO	list_matching_KO
M00144	72.73	13	K00331, K00330, K00333, K00332, K00335, K00334, K00337, K00339, K00338, K00340, K00341, K00342, K00343
M00036	72.5	9	K00166, K00167, K00249, K00826, K13766, K00382, K00253, K01640, K01969
M00374	69.23	12	K01676, K01007, K00240, K01903, K01902, K15016, K00239, K00626, K01595, K00241, K00024, K14534
M00549	66.67	3	K01835, K00886, K00963
M00010	66.67	4	K00031, K01682, K01647, K01681
M00345	66.67	3	K01624, K00850, K08094
M00627	66.67	2	K17836, K02171
M00842	66.67	2	K01737, K01495
M00432	66.67	4	K01703, K01649, K01704, K00052
M00087	66.67	6	K00249, K01782, K00632, K06445, K07516, K01692
M00841	66.67	4	K00950, K11754, K01495, K00796
M00025	66.67	6	K04517, K04516, K04092, K00210, K06208, K14170
M00843	66.67	2	K01737, K01495
M00525	66.67	6	K00928, K01778, K01586, K01714, K00215, K00133
M00120	66.67	6	K09680, K00859, K03525, K13038, K00954, K00867
M00009	65.63	19	K01676, K01679, K01682, K01681, K01903, K01902, K00024, K00239, K01647, K00242, K00658, K00164, K00175, K00174, K00382, K00241, K00240, K00116, K00031
M00849	62.5	7	K00054, K01823, K00869, K06981, K01641, K00021, K00626
M00048	61.11	12	K01756, K11175, K00602, K00764, K01923, K01933, K23264, K23265, K01945, K23269, K01952, K08289
M00577	60.0	3	K01935, K00833, K01012
M00029	60.0	3	K01755, K00611, K01940
M00573	60.0	3	K01935, K00833, K01012
M00530	58.33	3	K00374, K00371, K00363
M00376	55.56	12	K05606, K02160, K01679, K01963, K01962, K01961, K00239, K00241, K00240, K01847, K01848, K01849
M00532	55.56	6	K03781, K15918, K00600, K01602, K00830, K01601
M00173	54.55	17	K01676, K01006, K01007, K01679, K01682, K01681, K01903, K01902, K00239, K00024, K00175, K00174, K01595, K00241, K00240, K00242, K00031
M00170	50.0	2	K01595, K01610
M00015	50.0	3	K00286, K00147, K00931
M00151	50.0	3	K00411, K00412, K00413
M00037	50.0	2	K22450, K01593
M00155	50.0	4	K02276, K02277, K02274, K02275
M00642	50.0	1	K18301
M00134	50.0	1	K01581
M00136	50.0	2	K09471, K09472
M00098	50.0	1	K01046
M00580	50.0	2	K08094, K01807
M00565	50.0	4	K16149, K00975, K00700, K00703
M00623	50.0	2	K04102, K18068
M00622	50.0	3	K18028, K01799, K13995
M00840	50.0	3	K00287, K01633, K14652
M00028	50.0	7	K00620, K00145, K01438, K00821, K14682, K00619, K00930
M00022	50.0	8	K03786, K00891, K03856, K01736, K01735, K01626, K00014, K00800
M00168	50.0	2	K00024, K01595
M00141	50.0	1	K00600
M00143	50.0	5	K03939, K03942, K03941, K03940, K03937
M00533	50.0	3	K00151, K01826, K10219
M00128	50.0	2	K00591, K06134
M00100	50.0	1	K01634
M00127	50.0	2	K00941, K03147
M00024	50.0	5	K01713, K04516, K04092, K06208, K04518
M00040	50.0	2	K00220, K15226
M00107	50.0	1	K01822
M00344	50.0	2	K03841, K01624
M00579	50.0	1	K00925
M00365	50.0	1	K01823
M00366	50.0	2	K13789, K01823
M00615	50.0	1	K02575
M00854	50.0	4	K16149, K00975, K00700, K00703
M00855	50.0	5	K15778, K01835, K00705, K00688, K01200
M00874	50.0	4	K00645, K03955, K00059, K09458
M00698	50.0	1	K18900
M00176	50.0	7	K00958, K00392, K00390, K00860, K00955, K00957, K00956
M00740	45.45	5	K01681, K00024, K14449, K01647, K00031
M00377	42.86	3	K00297, K01491, K01938
M00114	42.86	10	K01809, K00971, K15778, K00064, K10046, K06859, K16011, K01810, K01840, K17497
M00129	42.86	3	K01053, K00963, K00012
M00575	40.0	2	K07389, K12340
M00013	40.0	2	K00248, K00140
M00546	40.0	8	K22879, K11177, K01477, K13483, K13482, K13481, K11178, K07127
M00032	38.1	5	K00252, K00658, K00290, K00382, K01782
M00014	37.5	3	K00854, K03331, K00012
M00375	35.71	6	K05606, K01848, K01849, K15016, K14534, K00626
M00620	35.71	5	K00024, K01903, K01902, K00175, K00174
M00545	33.33	2	K01666, K05712
M00367	33.33	1	K01823
M00081	33.33	1	K01051
M00110	33.33	1	K01822
M00156	33.33	1	K00406
M00154	33.33	5	K02257, K02258, K02259, K02260, K02262
M00368	33.33	1	K00789
M00873	33.33	3	K00645, K03955, K09458
M00769	33.33	1	K19591
M00744	33.33	1	K07637
M00047	33.33	1	K00613
M00046	33.33	4	K17722, K17723, K01464, K06016
M00123	33.33	3	K01935, K00833, K01012
M00609	33.33	2	K00789, K01243
M00567	32.5	5	K00672, K01499, K00201, K00200, K00202
M00171	28.57	2	K01595, K01006
M00835	28.57	2	K20940, K06998
M00142	28.57	2	K03880, K03881
M00860	28.57	2	K22116, K01932
M00158	26.67	4	K02128, K02133, K02126, K02125
M00089	25.0	4	K03621, K00655, K08591, K00635
M00417	25.0	1	K02300
M00148	25.0	1	K00236
M00112	25.0	1	K18534
M00568	25.0	1	K03464
M00023	25.0	8	K06001, K01695, K01696, K01817, K01658, K00766, K01657, K01609
M00150	25.0	1	K00247
M00633	25.0	1	K00131
M00094	25.0	1	K04712
M00078	25.0	2	K10532, K01136
M00079	25.0	1	K12373
M00872	25.0	1	K00728
M00790	25.0	1	K14266
M00056	25.0	1	K00710
M00131	25.0	1	K01092
M00152	22.22	4	K00416, K00411, K00412, K00413
M00146	21.43	3	K03955, K11352, K03952
M00357	20.0	1	K01895
M00099	20.0	2	K04712, K12349
M00569	20.0	4	K01666, K10217, K01821, K00446
M00372	20.0	1	K15746
M00550	20.0	1	K03079
M00076	20.0	1	K01136
M00055	19.23	3	K01001, K07441, K03845
M00718	16.67	1	K03585
M00696	16.67	1	K12340
M00697	16.67	1	K12340
M00529	16.67	2	K00374, K00371
M00804	16.67	1	K00371
M00789	16.67	1	K14266
M00160	15.38	2	K02155, K02154
M00147	15.38	2	K03963, K03965
M00651	14.29	1	K07260
M00673	12.5	1	K04127
M00113	12.5	1	K00632
M00030	12.5	1	K00290
M00039	10.0	1	K00588
M00104	8.33	1	K01796
M00848	3.13	1	K02078
M00065	2.08	2	K09658, K03861
