Genome	COG_category	Counts
MGYG000297003	I	117
MGYG000297003	H	123
MGYG000297003	J	133
MGYG000297003	C	185
MGYG000297003	E	229
MGYG000297003	S	607
MGYG000297003	L	166
MGYG000297003	Q	80
MGYG000297003	P	158
MGYG000297003	M	256
MGYG000297003	T	161
MGYG000297003	-	220
MGYG000297003	V	69
MGYG000297003	O	142
MGYG000297003	G	152
MGYG000297003	U	83
MGYG000297003	K	165
MGYG000297003	N	74
MGYG000297003	F	69
MGYG000297003	D	42
MGYG000297003	W	1
MGYG000297003	A	1
MGYG000297003	Z	2
MGYG000297003	B	1
